Hotel,h_lat,h_lng,City,Country
Hôtel Mercure Ajaccio,41.9323853,8.7403917,Arrondissement d'Ajaccio,FR
Intourist hotel,47.8393318,35.1373408,Ukrayinka,UA
"Justfeeli Lodge, Luangwa",-15.62546,30.398416,Luangwa,ZM
Gwanda Hotel.,-20.9435386,29.0076656,Gwanda,ZW
Baobab Tree Hotel & Spa,-15.717707,46.3013082,Mahajanga,MG
Marseille Hotel,44.301998,38.755036,Dzhubga,RU
Hôtel Régence Etoile,48.87653700000001,2.292983,Arrondissement de Saint-Denis,FR
خوابگاه دانشجویی خاش,28.20965,61.1987093,Khāsh,IR
